class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,28,0.7567567567567568,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,8,0.21621621621621623
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,32,0.9696969696969697,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,13,0.7222222222222222,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,5,0.2777777777777778
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,43,0.9555555555555556,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,53,0.9464285714285714,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,2,0.03571428571428571
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,64,0.9552238805970149,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.014925373134328358
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,50,0.9803921568627451,Lise-Meitner-Str-9_9377__Outdoor__South,1,0.0196078431372549
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,36,0.9230769230769231,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,2,0.05128205128205128
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,33,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,27,0.8709677419354839,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,4,0.12903225806451613
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,48,0.96,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,2,0.04
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,51,0.9622641509433962,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,53,0.9636363636363636,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.01818181818181818
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,72,0.9230769230769231,Lise-Meitner-Str-9_9377__Outdoor__South_East,4,0.05128205128205128
Lise-Meitner-Str-9_9377__Outdoor__South,81,79,0.9753086419753086,Lise-Meitner-Str-9_9377__Outdoor__North,2,0.024691358024691357
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,64,0.9552238805970149,Lise-Meitner-Str-9_9377__Outdoor__North_East,1,0.014925373134328358
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,62,0.96875,Lise-Meitner-Str-9_9377__Outdoor__South,2,0.03125
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,51,0.9622641509433962,Willy-Messerschmitt-5_9387__Indoor__RM_012,2,0.03773584905660377
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,48,0.8571428571428571,Willy-Messerschmitt-5_9387__Indoor__RM_011,7,0.125
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,44,0.8301886792452831,Willy-Messerschmitt-5_9387__Indoor__RM_020,9,0.16981132075471697
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,36,0.9473684210526315,Willy-Messerschmitt-5_9387__Indoor__RM_011,1,0.02631578947368421
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,76,1.0,,0,0.0
